"SPECIES","YEAR","SPI","SPI_SOUTH","SPI_NORTH","SELECTED_PROTECTED_AREA_TYPE","UNION"
"Semotilus corporalis",2010,0.0547779533135263,0.0468439594261621,0.0721198271202916,NA,TRUE
"Semotilus corporalis",2011,0.0618422905910177,0.046921653568891,0.0945514812375706,NA,TRUE
"Semotilus corporalis",2012,0.0664665327619887,0.0523597362856368,0.0973985651646557,NA,TRUE
"Semotilus corporalis",2013,0.0670922890614054,0.0532680375974953,0.0973985651646557,NA,TRUE
"Semotilus corporalis",2014,0.0682271938018371,0.0548348542370617,0.097579471786058,NA,TRUE
"Semotilus corporalis",2015,0.0684259408824248,0.0551233407199238,0.097579471786058,NA,TRUE
"Semotilus corporalis",2016,0.0690043025178117,0.0558593902509619,0.0978075212563492,NA,TRUE
"Semotilus corporalis",2017,0.070476637940171,0.0579957418869833,0.0978092427546646,NA,TRUE
"Semotilus corporalis",2018,0.0834729424302364,0.0581402686326048,0.139073383989376,NA,TRUE
"Semotilus corporalis",2019,0.0856155150275359,0.0612502676885923,0.139073383989376,NA,TRUE
"Semotilus corporalis",2020,0.118189396803524,0.0665011101026054,0.231721765936028,NA,TRUE
"Semotilus corporalis",2021,0.118307868213157,0.0666693127143256,0.231730057733032,NA,TRUE
"Semotilus corporalis",2022,0.120372407047386,0.0696660437461305,0.231730057733032,NA,TRUE
"Semotilus corporalis",2023,0.12342162693958,0.0740920645887243,0.231730057733032,NA,TRUE
"Sorex arcticus",1876,0,0,0,NA,TRUE
"Sorex arcticus",1900,0,0,0,NA,TRUE
"Sorex arcticus",1919,0,0,0,NA,TRUE
"Sorex arcticus",1925,3.76410848804796e-06,0,5.33838509613947e-06,NA,TRUE
"Sorex arcticus",1927,3.76410848804796e-06,0,5.33838509613947e-06,NA,TRUE
"Sorex arcticus",1931,3.76410848804796e-06,0,5.33838509613947e-06,NA,TRUE
"Sorex arcticus",1937,3.76410848804796e-06,0,5.33838509613947e-06,NA,TRUE
"Sorex arcticus",1938,3.76410848804796e-06,0,5.33838509613947e-06,NA,TRUE
"Sorex arcticus",1941,0.000191957435900602,0,0.000272240483545778,NA,TRUE
"Sorex arcticus",1955,0.000191957435900607,0,0.000272240483545778,NA,TRUE
"Sorex arcticus",1960,0.000191957435900607,0,0.000272240483545778,NA,TRUE
"Sorex arcticus",1970,0.000191957435900603,0,0.000272240483545778,NA,TRUE
"Sorex arcticus",1972,0.00019195743590061,0,0.000272240483545778,NA,TRUE
"Sorex arcticus",1976,0.00019195743590061,0,0.000272240483545778,NA,TRUE
"Sorex arcticus",1977,0.000191957435900607,0,0.000272240483545778,NA,TRUE
"Sorex arcticus",1978,0.000251896802036411,0.000201839823469172,0.000272240483545778,NA,TRUE
"Sorex arcticus",1979,0.000251896802036414,0.000201839823469173,0.000272240483545778,NA,TRUE
"Sorex arcticus",1980,0.000251896802036412,0.000201839823469175,0.000272240483545778,NA,TRUE
"Sorex arcticus",1981,0.000251896802036418,0.000201839823469173,0.000272240483545778,NA,TRUE
"Sorex arcticus",1982,0.000251896802036414,0.000201839823469172,0.000272240483545778,NA,TRUE
"Sorex arcticus",1983,0.000252644830483411,0.000204358734485843,0.000272240483545778,NA,TRUE
"Sorex arcticus",1984,0.000318475265557407,0.000204358734485842,0.000365603417846762,NA,TRUE
"Sorex arcticus",1985,0.00103107768668627,0.0026039761505004,0.000365603417846762,NA,TRUE
"Sorex arcticus",1986,0.00103107768668627,0.00260397615050041,0.000365603417846762,NA,TRUE
"Sorex arcticus",1987,0.00103107768668627,0.00260397615050041,0.000365603417846762,NA,TRUE
"Sorex arcticus",1988,0.00103107768668627,0.00260397615050041,0.000365603417846762,NA,TRUE
"Sorex arcticus",1989,0.00104424998757483,0.00264833255693965,0.000365603417846762,NA,TRUE
"Sorex arcticus",1990,0.00104424998757483,0.00264833255693964,0.000365603417846762,NA,TRUE
"Sorex arcticus",1991,0.00152239157329023,0.00271522826965342,0.00101554569211721,NA,TRUE
"Sorex arcticus",1992,0.00152819453392228,0.00273476915947392,0.00101554569211721,NA,TRUE
"Sorex arcticus",1993,0.00260710757805436,0.0027883130493932,0.00252314555952576,NA,TRUE
"Sorex arcticus",1994,0.00263187902022786,0.00287172840457142,0.00252314555952576,NA,TRUE
"Sorex arcticus",1995,0.00299078633623241,0.00287172840457142,0.00303215997096951,NA,TRUE
