"year","new_protected_area_km2","protected_area_km2","protected_area_pct","new_protected_area_north_km2","protected_area_north_km2","protected_area_north_pct","new_protected_area_south_km2","protected_area_south_km2","protected_area_south_pct","new_protected_area_endangered_km2","protected_area_endangered_km2","protected_area_endangered_pct","new_protected_area_terrestrial_km2","protected_area_terrestrial_km2","protected_area_terrestrial_pct"
1993,861.4577504342786,7422.455697387508,0.004415942398891217,861.4577504342786,1346.0518537617195,0.0010716372498680142,235.62193267615535,6076.393606754225,0.01430538599727088,861.4565907551166,7191.559843370306,0.005706336243084387,"","",""
1994,88.67069533157066,7511.1263927190785,0.004468696460217803,88.67069533157066,1346.0518537617195,0.0010716372498680142,88.67069533157066,6165.064302085796,0.014514139512177247,88.67069533157066,7280.230538701877,0.0057766943870045115,"","",""
1995,219.76761530790282,7730.894008026981,0.004599445793040761,219.76761530790282,1526.9806987523707,0.0012156808016269797,38.838770317251495,6203.903072403047,0.014605575919527497,219.76761530790282,7499.99815400978,0.005951074901885968,"","",""
1996,253.51081928271546,7984.404827309697,0.00475027042859126,253.51081928271546,1623.4248874551802,0.0012924632709340844,157.066630579906,6360.969702982953,0.01497535097413205,201.08400415669416,7701.082158166474,0.006110630403865371,"","",""
1997,6.48039220692402,7990.885219516621,0.004754125896360245,6.48039220692402,1623.4248874551802,0.0012924632709340844,6.48039220692402,6367.450095189877,0.014990607476250462,6.48039220692402,7707.562550373398,0.00611577244505326,"","",""
1998,1918.6490883857,9909.53430790232,0.005895613862530056,1918.6490883857,2125.144093042689,0.0016918988411011608,1416.929882798191,7784.379977988068,0.018326423128805468,1918.6490883857,9626.211638759098,0.00763817607782136,"","",""
1999,7.555568696003589,9917.089876598324,0.0059001089996534965,7.555568696003589,2125.144093042689,0.0016918988411011608,7.555568696003589,7791.935546684072,0.018344210871604927,7.555568696003589,9633.767207455101,0.007644171246661797,"","",""
2000,474.0484436445109,10391.138320242835,0.006182141079973625,474.0484436445109,2125.144093042689,0.0016918988411011608,474.0409113735314,8265.976458057603,0.019460224522886278,474.04088152739996,10107.808088982501,0.008020311711578762,"","",""
2001,1603.4147589768668,11994.553079219702,0.007136082404226467,1603.4147589768668,2691.3218321526256,0.002142652022399976,1037.2370198669305,9303.213477924533,0.021902145981588704,1603.4147589768668,11711.222847959369,0.009292584201987208,"","",""
2002,4077.251266360892,16071.804345580595,0.009561816887814316,4077.251266360892,6636.144218237274,0.005283258085403753,110.56128998893054,9413.774767913465,0.0221624355599152,540.4713833502889,12251.694231309657,0.009721435732160437,"","",""
2003,17374.13297828911,33445.93732386971,0.01989844584065608,17374.13297828911,23587.61272891789,0.018778893521173352,421.9751955288764,9835.74996344234,0.023155873188215728,7165.302828832161,19416.997060141817,0.015406937642087972,"","",""
2004,3069.3193147229576,36515.25663859266,0.02172451767593715,3069.3193147229576,26198.794471575544,0.020857743317180218,457.16329134804374,10292.913254790385,0.02423215260159131,1927.1677622531342,21344.164822394952,0.016936100645353083,"","",""
2005,6405.8664870700295,42921.12312566269,0.02553564684601026,6405.8664870700295,29141.855020442636,0.023200813016886816,3462.7861176073507,13755.699372397736,0.03238443753311744,5446.746455793204,26790.911278188156,0.021257967859770667,"","",""
2006,10.509701687653342,42931.632827350346,0.02554189952560504,10.509701687653342,29141.855020442636,0.023200813016886816,10.509701687653342,13766.20907408539,0.032409180061183915,10.509701687653342,26801.42097987581,0.021266307064748507,"","",""
2007,13298.600768758852,56230.233596109196,0.033453816736691844,13298.600768758852,41632.76019136459,0.0331452436332266,807.6955891303793,14573.904663215768,0.03431070223347372,13298.60073557589,40100.0217154517,0.03181843887099118,"","",""
2008,33516.17800259322,89746.41159870241,0.05339405181853009,33516.17800259322,70875.62651499994,0.05642647515320191,4269.204805272512,18843.10946848828,0.04436150318437683,21532.599686673857,61632.62140212556,0.04890405821867234,"","",""
2009,27134.262491707697,116880.67409041012,0.06953740720992031,27134.262491707697,96938.0075374179,0.07717561512565087,1068.3985842583227,19911.508052746605,0.046876786942454035,11262.971962139654,72895.59336426521,0.05784096572026946,"","",""
2010,43.87301013029969,116924.54710054041,0.06956350917583295,43.87301013029969,96953.06208601876,0.07718760055921017,28.818461529435833,19940.326514276043,0.046944632977899775,30.595831506010924,72926.18919577122,0.05786524280424187,"","",""
2011,3206.004504020788,120130.5516045612,0.07147090098759205,3206.004504020788,100129.49294539067,0.07971646422892714,29.573597309177835,19969.900111585222,0.04701425679627214,3206.0044649639917,76132.19366073521,0.060409133124612296,"","",""
