"";"SPECIES";"SPI";"YEAR";"SELECTED_PROTECTED_AREA_TYPE";"UNION";"LOC"
"154";"Salmo salar";0,139140176370405;2023;NA;TRUE;"North"
"155";"Sorex palustris";0,13949171379509;2023;NA;TRUE;"South"
"156";"Mephiti mephitis";0,140519285616681;2023;NA;TRUE;"South"
"157";"Condylura cristata";0,141045339478148;2023;NA;TRUE;"South"
"158";"Ambystoma laterale";0,141467082520383;2023;NA;TRUE;"South"
"159";"Tamias striatus";0,141764171505247;2023;NA;TRUE;"South"
"160";"Gasterosteus wheatlandi";0,142424564019666;2023;NA;TRUE;"South"
"161";"Marmota monax";0,142668643757852;2023;NA;TRUE;"North"
"162";"Oncorhynchus clarkii";0,143096105774831;2023;NA;TRUE;"South"
"163";"Canis latrans";0,143351599151042;2023;NA;TRUE;"South"
"164";"Couesius plumbeus";0,143431329901813;2023;NA;TRUE;"North"
"165";"Synaptomys cooperi";0,143977033626844;2023;NA;TRUE;"South"
"166";"Percina caprodes";0,146246772138367;2023;NA;TRUE;"South"
"167";"Sander vitreus";0,147075474389147;2023;NA;TRUE;"South"
"168";"Glaucomys sabrinus";0,147150330813514;2023;NA;TRUE;"North"
"169";"Sorex hoyi";0,148830233345764;2023;NA;TRUE;"North"
"170";"Sorex arcticus";0,151624582481627;2023;NA;TRUE;"North"
"171";"Zapus hudsonius";0,151954963473948;2023;NA;TRUE;"North"
"172";"Gasterosteus aculeatus";0,152585351030207;2023;NA;TRUE;"North"
"173";"Lithobates sylvaticus";0,152983171954803;2023;NA;TRUE;"North"
"174";"Coregonus artedi";0,154765274760032;2023;NA;TRUE;"North"
"175";"Peromyscus maniculatus";0,1552738717789;2023;NA;TRUE;"North"
"176";"Alces americanus";0,155284483949769;2023;NA;TRUE;"North"
"177";"Castor canadensis";0,155567614388361;2023;NA;TRUE;"North"
"178";"Anaxyrus americanus";0,156615966732782;2023;NA;TRUE;"North"
"179";"Salvelinus namaycush";0,156860672397352;2023;NA;TRUE;"North"
"180";"Rhinichthys cataractae";0,157460245843632;2023;NA;TRUE;"North"
"181";"Lepus americanus";0,159669829638266;2023;NA;TRUE;"North"
"182";"Lynx canadensis";0,159980432502011;2023;NA;TRUE;"North"
"183";"Acipenser fulvescens";0,159982095778684;2023;NA;TRUE;"South"
"184";"Tamiasciurus hudsonicus";0,16017458771727;2023;NA;TRUE;"North"
"185";"Sorex cinereus";0,160281670865082;2023;NA;TRUE;"North"
"186";"Catostomus catostomus";0,160564308139893;2023;NA;TRUE;"North"
"187";"Esox lucius";0,160596842893038;2023;NA;TRUE;"North"
"188";"Myoxocephalus thompsonii";0,160801774905493;2023;NA;TRUE;"South"
"189";"Erethizon dorsatum";0,162019438033975;2023;NA;TRUE;"North"
"190";"Catostomus commersonii";0,16218202477436;2023;NA;TRUE;"North"
"191";"Salvelinus fontinalis";0,162532234105336;2023;NA;TRUE;"North"
"192";"Neovison vison";0,162646673895782;2023;NA;TRUE;"North"
"193";"Martes americana";0,162825649525045;2023;NA;TRUE;"North"
"194";"Myodes gapperi";0,162945276929798;2023;NA;TRUE;"North"
"195";"Ondatra zibethicus";0,163193305923122;2023;NA;TRUE;"North"
"196";"Lota lota";0,163883822284387;2023;NA;TRUE;"North"
"197";"Ursus americanus";0,16456438592802;2023;NA;TRUE;"North"
"198";"Microtus pennsylvanicus";0,165076814586555;2023;NA;TRUE;"North"
"199";"Mustela erminea";0,165551731008747;2023;NA;TRUE;"North"
"200";"Vulpes vulpes";0,165552014200056;2023;NA;TRUE;"North"
"201";"Lontra canadensis";0,165609247727097;2023;NA;TRUE;"North"
"202";"Coregonus clupeaformis";0,1659422935756;2023;NA;TRUE;"North"
"203";"Phenacomys ungava";0,166093927025991;2023;NA;TRUE;"North"
"204";"Cottus cognatus";0,166765473808701;2023;NA;TRUE;"North"
"205";"Mustela nivalis";0,170106469436011;2023;NA;TRUE;"North"
"206";"Pungitius pungitius";0,171835308370878;2023;NA;TRUE;"North"
"207";"Cottus bairdii";0,172263204422679;2023;NA;TRUE;"North"
"208";"Canis lupus";0,172347472648231;2023;NA;TRUE;"North"
"209";"Prosopium cylindraceum";0,176176284928564;2023;NA;TRUE;"North"
"210";"Morone saxatilis";0,176885469552982;2023;NA;TRUE;"South"
"211";"Apeltes quadracus";0,178031050655936;2023;NA;TRUE;"South"
"212";"Sternotherus odoratus";0,178991534334952;2023;NA;TRUE;"South"
"213";"Synaptomys borealis";0,182722850272605;2023;NA;TRUE;"North"
"214";"Oncorhynchus nerka";0,185353090552721;2023;NA;TRUE;"South"
"215";"Salvelinus alpinus";0,186420507134369;2023;NA;TRUE;"North"
"216";"Rangifer tarandus caribou";0,190717726354625;2023;NA;TRUE;"North"
"217";"Dorosoma cepedianum";0,194524969600976;2023;NA;TRUE;"South"
"218";"Vulpes lagopus";0,197504650000639;2023;NA;TRUE;"North"
"219";"Dicrostonyx hudsonius";0,206265758609441;2023;NA;TRUE;"North"
"220";"Ovibos moschatus";0,210051161136416;2023;NA;TRUE;"North"
"221";"Lepus arcticus";0,237619368188135;2023;NA;TRUE;"North"
"222";"Ursus maritimus";0,243420216180209;2023;NA;TRUE;"North"
"223";"Morone americana";0,307286410424436;2023;NA;TRUE;"South"
"224";"Neogobius melanostomus";0,328752389089213;2023;NA;TRUE;"South"
"225";"Pseudacris maculata";0,695522856489021;2023;NA;TRUE;"North"
