"","observed_scientific_name","valid_scientific_name","vernacular_en","vernacular_fr","group_en","group_fr"
"33","Chrysemys picta","Chrysemys picta","Eastern painted turtle","Tortue peinte","Reptiles","Reptiles"
"34","Clemmys guttata","Clemmys guttata","Spotted turtle","Tortue ponctuée","Reptiles","Reptiles"
"35","Glyptemys insculpta","Clemmys insculpta","Wood turtle","Tortue des bois","Reptiles","Reptiles"
"36","Clethrionomys gapperi","Clethrionomys gapperi","Gapper's red-backed mouse","Campagnol à dos roux de gapper","Mammals","Mammifères"
"37","Condylura cristata","Condylura cristata","Star-nosed mole","Condylure à nez étoilé","Mammals","Mammifères"
"38","Coregonus artedi","Coregonus artedi","Cisco","Cisco de lac","Fish","Poissons"
"39","Coregonus clupeaformis","Coregonus clupeaformis","Lake whitefish","Grand corégone","Fish","Poissons"
"40","Percina copelandi","Cottogaster copelandi","Channel darter","Fouille-roche gris","Fish","Poissons"
"41","Cottus bairdii","Cottus bairdii","Mottled sculpin","Chabot tacheté","Fish","Poissons"
"42","Cottus cognatus","Cottus cognatus","Slimy sculpin","Chabot visqueux","Fish","Poissons"
"43","Cottus ricei","Cottus ricei","Spoonhead sculpin","Chabot à tête plate","Fish","Poissons"
"44","Couesius plumbeus","Couesius plumbeus","Lake chub","Mulet de lac","Fish","Poissons"
"45","Ctenopharyngodon idella","Ctenopharyngodon idella","Grass carp","Carpe de roseau","Fish","Poissons"
"46","Culaea inconstans","Culaea inconstans","Brook stickleback","Épinoche à cinq épines","Fish","Poissons"
"47","Cyprinella spiloptera","Cyprinella spiloptera","Spotfin shiner","Méné bleu","Fish","Poissons"
"48","Cyprinus carpio","Cyprinus carpio","European carp","Carpe commune","Fish","Poissons"
"49","Dermochelys coriacea","Dermochelys coriacea","Leatherback","Tortue luth","Reptiles","Reptiles"
"50","Desmognathus fuscus","Desmognathus fuscus","Dusky salamander","Salamandre sombre du Nord","Amphibians","Amphibiens"
"51","Desmognathus ochrophaeus","Desmognathus ochrophaeus","Allegheny mountain dusky salamander","Salamandre sombre des montagnes","Amphibians","Amphibiens"
"52","Diadophis punctatus","Diadophis punctatus edwardsii","Northern ring-necked snake","Couleuvre à collier du Nord","Reptiles","Reptiles"
"53","Dicrostonyx hudsonius","Dicrostonyx hudsonius","Labrador collared lemming","Lemming d'ungava","Mammals","Mammifères"
"54","Didelphis virginiana","Didelphis virginiana","Virginia opossum","Opossum d'amérique","Mammals","Mammifères"
"55","Dorosoma cepedianum","Dorosoma cepedianum","American gizzard shad","Alose à gésier","Fish","Poissons"
"56","Dryophytes versicolor","Dryophytes versicolor","Gray treefrog","Poissons osseux","Amphibians","Amphibiens"
"57","Emydoidea blandingii","Emydoidea blandingii","Blanding's turtle","Tortue mouchetée","Reptiles","Reptiles"
"58","Eptesicus fuscus","Eptesicus fuscus","Big brown bat","Grande chauve-souris brune","Mammals","Mammifères"
"59","Erethizon dorsata","Erethizon dorsatum","Common porcupine","Porc-épic d'amérique","Mammals","Mammifères"
"60","Esox americanus americanus","Esox americanus americanus","Redfin pickerel","Brochet d'amérique","Fish","Poissons"
"61","Esox lucius","Esox lucius","Northern pike","Grand brochet","Fish","Poissons"
"62","Esox masquinongy","Esox masquinongy","Muskellunge","Maskinongé","Fish","Poissons"
"63","Esox niger","Esox niger","Chain pickerel","Brochet maillé","Fish","Poissons"
"64","Etheostoma exile","Etheostoma exile","Iowa darter","Dard à ventre jaune","Fish","Poissons"
"65","Etheostoma flabellare","Etheostoma flabellare","Fantail darter","Dard barré","Fish","Poissons"
"66","Etheostoma nigrum","Etheostoma nigrum","Johnny darter","Raseux-de-terre noir","Fish","Poissons"
"67","Etheostoma olmstedi","Etheostoma olmstedi","Tessellated darter","Raseux-de-terre gris","Fish","Poissons"
"68","Eurycea bislineata","Eurycea bislineata","Northern two-lined salamander","Salamandre à deux lignes du Nord","Amphibians","Amphibiens"
"69","Exoglossum maxillingua","Exoglossum maxillingua","Cutlip minnow","Méné bec-de-lièvre","Fish","Poissons"
"70","Fundulus diaphanus","Fundulus diaphanus","Banded killifish","Fondule barré","Fish","Poissons"
"71","Fundulus heteroclitus","Fundulus heteroclitus","Mummichog","Choquemort","Fish","Poissons"
"72","Gasterosteus aculeatus","Gasterosteus aculeatus","Alaskan stickleback","Épinoche à trois épines","Fish","Poissons"
"73","Gasterosteus wheatlandi","Gasterosteus wheatlandi","Blackspotted stickleback","Épinoche tachetée","Fish","Poissons"
"74","Glaucomys sabrinus","Glaucomys sabrinus","Northern flying squirrel","Grand polatouche","Mammals","Mammifères"
"75","Glaucomys volans","Glaucomys volans","Southern flying squirrel","Petit polatouche","Mammals","Mammifères"
"76","Graptemys geographica","Graptemys geographica","Common map turtle","Tortue géographique","Reptiles","Reptiles"
"77","Gyrinophilus porphyriticus porphyriticus","Gyrinophilus porphyriticus","Northern spring salamander","Tétrapode","Amphibians","Amphibiens"
"78","Hemidactylium scutatum","Hemidactylium scutatum","Four-toed salamander","Salamandre à quatre orteils","Amphibians","Amphibiens"
"79","Hiodon alosoides","Hiodon alosoides","Goldeye","Laquaiche aux yeux d'or","Fish","Poissons"
"80","Hiodon tergisus","Hiodon tergisus","Mooneye","Laquaiche argentée","Fish","Poissons"
"81","Hybognathus hankinsoni","Hybognathus hankinsoni","Brassy minnow","Méné laiton","Fish","Poissons"
"82","Hybognathus regius","Hybognathus regius","Eastern silvery minnow","Méné d'argent de l'est","Fish","Poissons"
"83","Hyla versicolor","Hyla versicolor","Gray treefrog","Rainette versicolore","Amphibians","Amphibiens"
"84","Ichthyomyzon castaneus","Ichthyomyzon castaneus","Chestnut lamprey","Lamproie brune","Fish","Poissons"
"85","Ichthyomyzon fossor","Ichthyomyzon fossor","Northern brook lamprey","Lamproie du Nord","Fish","Poissons"
"86","Ichthyomyzon unicuspis","Ichthyomyzon unicuspis","Silver lamprey","Lamproie argentée","Fish","Poissons"
"87","Ictalurus punctatus","Ictalurus punctatus","Channel catfish","Barbue de rivière","Fish","Poissons"
"88","Labidesthes sicculus","Labidesthes sicculus","Brook silverside","Crayon d'argent","Fish","Poissons"
"89","Lampetra appendix","Lampetra appendix","American brook lamprey","Lamproie de l'est","Fish","Poissons"
"90","Lampropeltis triangulum","Lampropeltis triangulum","Eastern milk snake","Couleuvre tachetée","Reptiles","Reptiles"
"91","Lasionycteris noctivagans","Lasionycteris noctivagans","Black bat","Chauve-souris argentée","Mammals","Mammifères"
"92","Lasiurus borealis","Lasiurus borealis","Eastern red bat","Chauve-souris rousse","Mammals","Mammifères"
"93","Lepisosteus osseus","Lepisosteus osseus","Longnose gar","Lépisosté osseux","Fish","Poissons"
"94","Lepomis gibbosus","Lepomis gibbosus","Pumpkinseed","Crapet-soleil","Fish","Poissons"
